startDate,sellerMetric.value,platformMetric.value
2023-10-21,0.0,40190.0
2023-10-22,0.0,50038.0
2023-10-23,7209.0,48156.0
2023-10-24,0.0,59999.0
2023-10-25,2403.0,48835.0
2023-10-26,4588.0,30742.0
2023-10-27,0.0,13178.0
2023-10-28,2185.0,29052.0
2023-10-29,2530.0,38360.0
2023-10-30,2358.0,42774.0
2023-10-31,2185.0,53635.0
2023-11-01,4769.0,64156.0
2023-11-02,2432.0,41513.0
2023-11-03,0.0,21741.0
2023-11-04,0.0,16109.0
2023-11-05,0.0,35668.0
2023-11-06,4695.0,34451.0
2023-11-07,0.0,41421.0
2023-11-08,2337.0,28286.0
2023-11-09,2173.0,50164.0
2023-11-10,2231.0,55743.0
2023-11-11,4404.0,62119.0
2023-11-12,8808.0,59221.0
2023-11-13,0.0,61369.0
2023-11-14,4766.0,59246.0
2023-11-15,2362.0,27198.0
2023-11-16,2383.0,40252.0
2023-11-17,2267.0,65300.0
2023-11-18,2267.0,28919.0
2023-11-19,0.0,22620.0
2023-11-20,0.0,44575.0
2023-11-21,2298.0,75509.0
2023-11-22,0.0,33818.0
2023-11-23,2231.0,79230.0
2023-11-24,2231.0,60601.0
2023-11-25,2231.0,46674.0
2023-11-26,4462.0,41982.0
2023-11-27,0.0,47354.0
2023-11-28,2231.0,23317.0
2023-11-29,2231.0,91182.0
2023-11-30,0.0,42826.0
2023-12-01,8924.0,29390.0
2023-12-02,0.0,14397.0
2023-12-03,0.0,30123.0
2023-12-04,9042.0,50886.0
2023-12-05,9042.0,51581.0
2023-12-06,6693.0,65525.0
2023-12-07,4580.0,73510.0
2023-12-08,0.0,41438.0
2023-12-09,0.0,48398.0
2023-12-10,0.0,37238.0
2023-12-11,2231.0,79304.0
2023-12-12,0.0,56027.0
2023-12-13,8924.0,56852.0
2023-12-14,4462.0,62918.0
2023-12-15,2231.0,48238.0
2023-12-16,0.0,47670.0
2023-12-17,2231.0,115764.0
2023-12-18,2139.0,95974.0
2023-12-19,4462.0,80552.0
2023-12-20,2231.0,99563.0
2023-12-21,0.0,42396.0
2023-12-22,4462.0,63958.0
2023-12-23,3648.0,60825.0
2023-12-24,2231.0,54568.0
2023-12-25,8924.0,66872.0
2023-12-26,4530.0,68047.0
2023-12-27,8924.0,56026.0
2023-12-28,8992.0,54416.0
2023-12-29,2231.0,26872.0
2023-12-30,0.0,22853.0
2023-12-31,2299.0,10695.0
2024-01-01,2231.0,21228.0
2024-01-02,4462.0,24397.0
2024-01-03,2231.0,21030.06
2024-01-04,2231.0,28809.0
2024-01-05,4462.0,40123.0
2024-01-06,2231.0,49261.0
2024-01-07,4462.0,40868.0
2024-01-08,6693.0,37006.0
2024-01-09,0.0,33320.0
2024-01-10,0.0,30956.0
2024-01-11,0.0,30163.0
2024-01-12,7377.0,35979.0
2024-01-13,0.0,48920.61
2024-01-14,2459.0,48243.0
2024-01-15,2459.0,45538.0
2024-01-16,9836.0,32590.0
2024-01-17,0.0,28684.0
2024-01-18,0.0,31246.0
2024-01-19,0.0,29817.0
2024-01-20,0.0,27864.0
2024-01-21,2999.0,32408.0
2024-01-22,6858.0,42397.0
2024-01-23,6717.0,40126.0
2024-01-24,0.0,42227.0
2024-01-25,0.0,48646.0
2024-01-26,0.0,46426.0
2024-01-27,0.0,20184.0
2024-01-28,12295.0,52971.0
2024-01-29,4918.0,65441.0
2024-01-30,0.0,61232.0
2024-01-31,2459.0,40814.0
2024-02-01,12295.0,44194.0
2024-02-02,9836.0,109999.0
2024-02-03,2459.0,37664.0
2024-02-04,2459.0,41393.0
2024-02-05,0.0,50872.0
2024-02-06,0.0,36956.0
2024-02-07,0.0,81192.0
2024-02-08,0.0,60717.0
2024-02-09,2246.0,60402.0
2024-02-10,2295.0,63692.0
2024-02-11,2295.0,48652.0
2024-02-12,12295.0,62084.0
2024-02-13,0.0,75634.0
2024-02-14,4328.0,70438.0
2024-02-15,4328.0,58011.0
2024-02-16,6492.0,97057.0
2024-02-17,6492.0,65740.0
2024-02-18,11655.0,54243.0
2024-02-19,2164.0,94026.0
2024-02-20,2164.0,65356.0
2024-02-21,5998.0,85966.0
2024-02-22,0.0,54450.0
2024-02-23,0.0,45697.26
2024-02-24,0.0,80277.0
2024-02-25,2999.0,117600.0
2024-02-26,0.0,94301.0
2024-02-27,0.0,63680.0
2024-02-28,0.0,90011.0
2024-02-29,2999.0,57704.0
2024-03-01,0.0,51487.0
2024-03-02,2999.0,79441.0
2024-03-03,0.0,68497.0
2024-03-04,2999.0,92009.0
2024-03-05,2385.0,84556.0
2024-03-06,4770.0,62575.0
2024-03-07,0.0,55407.0
2024-03-08,2385.0,45298.0
2024-03-09,4770.0,55213.0
2024-03-10,4770.0,67335.0
2024-03-11,2385.0,64712.0
2024-03-12,4531.0,103045.66
2024-03-13,9504.0,82139.0
2024-03-14,0.0,57293.0
2024-03-15,4752.0,72564.0
2024-03-16,7211.0,52733.0
2024-03-17,2376.0,62878.0
2024-03-18,7128.0,93134.0
2024-03-19,7294.0,84247.0
2024-03-20,16667.0,146089.0
2024-03-21,16798.0,106651.0
2024-03-22,4835.0,55222.67
2024-03-23,7211.0,70297.0
2024-03-24,11963.0,84089.03
2024-03-25,12212.0,120723.0
2024-03-26,4835.0,97631.0
2024-03-27,4835.0,121894.29
2024-03-28,12046.0,138058.5
2024-03-29,4835.0,107984.0
2024-03-30,7294.0,121185.0
2024-03-31,12046.0,183296.0
2024-04-01,24092.0,192562.0
2024-04-02,16964.0,222044.0
2024-04-03,24092.0,197405.6
2024-04-04,14422.0,188121.0
2024-04-05,19174.0,219184.0
2024-04-06,16881.0,182363.0
2024-04-07,26634.0,237517.0
2024-04-08,38597.0,306200.4
2024-04-09,9670.0,249174.02
2024-04-10,22131.0,348237.0
2024-04-11,2376.0,312759.0
2024-04-12,7211.0,274438.0
2024-04-13,24632.0,285981.0
2024-04-14,4835.0,285551.0
2024-04-15,9670.0,284659.23
2024-04-16,12212.0,351649.0
2024-04-17,14449.0,349882.0
2024-04-18,0.0,324402.0
2024-04-19,2459.0,269326.0
2024-04-20,14754.0,340070.0
2024-04-21,7377.0,344886.0
2024-04-22,9753.0,297226.5
2024-04-23,17213.0,457250.48
2024-04-24,19672.0,419979.0
2024-04-25,19506.0,487450.25
2024-04-26,14588.0,432751.0
2024-04-27,24424.0,443005.15
2024-04-28,24341.0,542207.0
2024-04-29,29867.0,716091.0
2024-04-30,19340.0,643447.0
2024-05-01,31356.0,612431.0
2024-05-02,5722.0,524567.0
2024-05-03,20835.0,454356.0
2024-05-04,26491.0,397708.0
2024-05-05,10842.0,449178.34
2024-05-06,11416.0,432273.0
2024-05-07,23980.0,330273.0
2024-05-08,16550.0,357230.0
2024-05-09,26378.0,293623.0
2024-05-10,18984.0,334933.11
2024-05-11,30974.0,364717.04
2024-05-12,23980.0,409311.0
2024-05-13,25079.0,419471.0
2024-05-14,38168.0,523603.76
2024-05-15,5895.0,593812.0
2024-05-16,23780.0,634859.0
2024-05-17,9392.0,539382.0
2024-05-18,0.0,575721.0
2024-05-19,4596.0,796132.0
2024-05-20,0.0,946922.0
2024-05-21,4396.0,1008252.0
2024-05-22,3497.0,942215.0
2024-05-23,1099.0,881298.0
2024-05-24,3497.0,778977.0
2024-05-25,1099.0,782721.25
2024-05-26,0.0,1026105.0
2024-05-27,0.0,1235438.0
2024-05-28,0.0,1215870.08
2024-05-29,0.0,1155910.0
2024-05-30,0.0,1008651.75
2024-05-31,19096.0,821943.0
2024-06-01,33494.0,842121.0
2024-06-02,41078.0,1179311.0
2024-06-03,31629.0,1243308.78
2024-06-04,58800.0,1120892.75
2024-06-05,36639.0,1101584.9
2024-06-06,41872.0,1133340.0
2024-06-07,48835.0,894523.0
2024-06-08,34468.0,851825.0
2024-06-09,56491.0,1182146.25
2024-06-10,51765.0,1156241.0
2024-06-11,27001.0,1132701.0
2024-06-12,34279.0,1158907.0
2024-06-13,44172.0,954098.0
2024-06-14,40615.0,1027944.0
2024-06-15,25971.0,1053917.0
2024-06-16,29874.0,1182177.0
2024-06-17,37020.0,1071297.0
2024-06-18,58791.0,946211.32
2024-06-19,58791.0,975583.0
2024-06-20,62862.0,848347.0
2024-06-21,56428.0,789451.69
2024-06-22,46409.0,816765.81
2024-06-23,67398.0,1087366.0
2024-06-24,15444.0,1056439.0
2024-06-25,0.0,1098523.0
2024-06-26,4915.0,1046950.23
2024-06-27,0.0,1015535.19
2024-06-28,0.0,994614.2
2024-06-29,0.0,953476.0
2024-06-30,2426.0,1062366.0
2024-07-01,4852.0,1203753.0
2024-07-02,0.0,1168083.0
2024-07-03,0.0,1042817.0
2024-07-04,0.0,995607.01
2024-07-05,0.0,710935.0
2024-07-06,0.0,755150.0
2024-07-07,0.0,820884.0
2024-07-08,46661.0,1066401.0
2024-07-09,51639.0,1025122.0
2024-07-10,8503.0,1010256.0
2024-07-11,4915.0,959305.12
2024-07-12,29301.0,875415.0
2024-07-13,51450.0,767352.0
2024-07-14,66006.0,867452.06
2024-07-15,68369.0,1002388.0
2024-07-16,59232.0,1004831.0
2024-07-17,20475.0,859943.33
2024-07-18,50465.0,776557.0
2024-07-19,33939.0,938895.0
2024-07-20,51560.0,729330.0
2024-07-21,46782.0,835206.0
2024-07-22,23587.0,791714.0
2024-07-23,77728.0,844429.29
2024-07-24,50560.0,754263.69
2024-07-25,60747.0,830000.0
2024-07-26,55356.0,677187.0
2024-07-27,67528.0,684282.16
2024-07-28,54956.0,714967.01
2024-07-29,57955.0,634154.0
2024-07-30,87536.0,839189.0
